Request By/Reseller Name,Sender ID,Description,Operator/Gateway,State,Date,Priority
Initiative Nepal Pvt. Ltd.[ Easy-reseller ],Subharamba,Subharambha Pre School ,Default [ AXIATA ],Requested,2017-01-16 03:14:51,Regular
Initiative Nepal Pvt. Ltd.[ Easy-reseller ],Edupark,Edupark Educational Consultancy,Default [ AXIATA ],Requested,2017-01-16 03:27:39,Regular
Initiative Nepal Pvt. Ltd.[ Easy-reseller ],SPEC,Student Pride Education Consultancy            ,Default [ AXIATA ],Requested,2017-01-16 03:10:03,Regular
Initiative Nepal Pvt. Ltd.[ Easy-reseller ],CRPubPvtLtd,Creative Readers Publication Pvt Ltd            ,Default [ AXIATA ],Requested,2017-01-16 03:17:01,Regular
Initiative Nepal Pvt. Ltd.[ Easy-reseller ],TATTVA,Tattva Furnishing Pvt. Ltd. ,Default [ AXIATA ],Requested,2017-01-16 03:40:00,Regular
Idea-api[ Easy-reseller ],BSCCSL,Baghmara Saving & Credit Cooperative Sanstha Limited            ,Default [ AXIATA ],Requested,2017-01-03 18:32:37,Regular
Idea-api[ Easy-reseller ],NSTORE,Network Store Pvt. Ltd.            ,Default [ AXIATA ],Requested,2017-01-05 13:21:37,Regular
Idea-api[ Easy-reseller ],Sarvasulabh,Sarvasulabh Consumer Cooperative Society Ltd.            ,Default [ AXIATA ],Requested,2017-01-11 17:12:37,Regular
Idea-api[ Easy-reseller ],NEGEOBGL,Nepal Government Employees' Organization Baglung            ,Default [ AXIATA ],Requested,2017-01-08 13:26:21,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],TEJASVI,     Tejasvi Computer       ,Default [ AXIATA ],Requested,2017-01-03 15:18:38,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],FullMoonOvs,Full Moon Overseas Services Pvt. Ltd.      ,Default [ AXIATA ],Requested,2017-01-10 16:46:10,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],AyushIntl, Ayush International           ,Default [ AXIATA ],Requested,2017-01-03 15:21:03,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],STAR,    Sher Bahadur Dhami        ,Default [ AXIATA ],Requested,2017-01-03 15:22:47,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],TejasviCom,Tejasvi Computer Support            ,Default [ AXIATA ],Requested,2017-01-16 09:28:48,Regular
E-prima Technology Pvt. Ltd.[ Easy-reseller ],CHAUTARI,        Chautari Nepal Health    ,Default [ AXIATA ],Requested,2017-01-03 15:28:57,Regular
